index,l_freq_filter,h_freq_filter,channels_to_drop,baseline_correction,projectors_to_apply,selected_frequency,tmin,tmax,detrend,reject,flat,ica_to_exclude,scaler,"(1, 5)","(2, 4)","(1, 3)"
20,0.1,40,"['AFz', 'F7', 'F6']",,,256,0.3,4.5,,,{'eeg': 15},,robust,0.5671428442001343,0.5428571701049805,0.5514285564422607
21,0.1,40,"['AFz', 'F7', 'F6']",,,256,0.3,4.5,,,{'eeg': 15},,min_max,0.5,0.5157142877578735,0.5099999904632568
22,0.1,40,"['AFz', 'F7', 'F6']",,,256,0.3,4.5,,,{'eeg': 15},[0],robust,0.5942857265472412,0.604285717010498,0.5657142996788025
23,0.1,40,"['AFz', 'F7', 'F6']",,,256,0.3,4.5,,,{'eeg': 15},[0],min_max,0.5,0.508571445941925,0.5128571391105652
24,0.1,40,"['AFz', 'F7', 'F6']",,,256,0.3,4.5,,,{'eeg': 15},[1],robust,0.5542857050895691,0.5214285850524902,0.5357142686843872
25,0.1,40,"['AFz', 'F7', 'F6']",,,256,0.3,4.5,,,{'eeg': 15},[1],min_max,0.5171428322792053,0.5157142877578735,0.5057142972946167
26,0.1,40,"['AFz', 'F7', 'F6']",,,256,0.3,4.5,,,{'eeg': 15},"[0, 1]",robust,0.5614285469055176,0.5614285469055176,0.5557143092155457
27,0.1,40,"['AFz', 'F7', 'F6']",,,256,0.3,4.5,,,{'eeg': 15},"[0, 1]",min_max,0.5,0.5114285945892334,0.5014285445213318
28,0.1,40,"['AFz', 'F7', 'F6']",,,256,0.3,4.5,,,{'eeg': 15},"[0, 1, 2, 3, 4]",robust,0.5757142901420593,0.558571457862854,0.5571428537368774
29,0.1,40,"['AFz', 'F7', 'F6']",,,256,0.3,4.5,,,{'eeg': 15},"[0, 1, 2, 3, 4]",min_max,0.5,0.5171428322792053,0.5
30,0.1,40,"['AFz', 'F7', 'F6']",,,256,0.3,4.5,,{'eeg': 50},,,robust,,,
31,0.1,40,"['AFz', 'F7', 'F6']",,,256,0.3,4.5,,{'eeg': 50},,,min_max,,,
32,0.1,40,"['AFz', 'F7', 'F6']",,,256,0.3,4.5,,{'eeg': 50},,[0],robust,,,
33,0.1,40,"['AFz', 'F7', 'F6']",,,256,0.3,4.5,,{'eeg': 50},,[0],min_max,,,
34,0.1,40,"['AFz', 'F7', 'F6']",,,256,0.3,4.5,,{'eeg': 50},,[1],robust,,,
35,0.1,40,"['AFz', 'F7', 'F6']",,,256,0.3,4.5,,{'eeg': 50},,[1],min_max,,,
36,0.1,40,"['AFz', 'F7', 'F6']",,,256,0.3,4.5,,{'eeg': 50},,"[0, 1]",robust,,,
37,0.1,40,"['AFz', 'F7', 'F6']",,,256,0.3,4.5,,{'eeg': 50},,"[0, 1]",min_max,,,
38,0.1,40,"['AFz', 'F7', 'F6']",,,256,0.3,4.5,,{'eeg': 50},,"[0, 1, 2, 3, 4]",robust,,,
39,0.1,40,"['AFz', 'F7', 'F6']",,,256,0.3,4.5,,{'eeg': 50},,"[0, 1, 2, 3, 4]",min_max,,,
40,0.1,40,"['AFz', 'F7', 'F6']",,,256,0.3,4.5,,{'eeg': 50},{'eeg': 13.5},,robust,,,
41,0.1,40,"['AFz', 'F7', 'F6']",,,256,0.3,4.5,,{'eeg': 50},{'eeg': 13.5},,min_max,,,
42,0.1,40,"['AFz', 'F7', 'F6']",,,256,0.3,4.5,,{'eeg': 50},{'eeg': 13.5},[0],robust,,,
43,0.1,40,"['AFz', 'F7', 'F6']",,,256,0.3,4.5,,{'eeg': 50},{'eeg': 13.5},[0],min_max,,,
44,0.1,40,"['AFz', 'F7', 'F6']",,,256,0.3,4.5,,{'eeg': 50},{'eeg': 13.5},[1],robust,,,
45,0.1,40,"['AFz', 'F7', 'F6']",,,256,0.3,4.5,,{'eeg': 50},{'eeg': 13.5},[1],min_max,,,
